path,line,literal,context,classification,action,evidence
src/modelcypher/core/__init__.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/__init__.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/__init__.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/__init__.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/__init__.py,80,01,from . import (  # noqa: F401,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/_backend.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/_backend.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/__init__.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/__init__.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,99,0,values: Cosine similarities to each concept (0 to 1 for normalized embeddings).,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,99,1,values: Cosine similarities to each concept (0 to 1 for normalized embeddings).,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,122,0,n = int(backend.shape(values_arr)[0]),STRUCTURAL_NONCAUSAL,KEEP,indexing/control-flow literal tied to array structure
src/modelcypher/core/domain/atlas/atlas_base.py,132,2,"count_arr = backend.sum(backend.astype(mask, ""int32""))",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,135,0,if k <= 0:,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,139,0,if k <= 0:,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,145,0,"kth = max(0, k - 1)",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,145,1,"kth = max(0, k - 1)",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,267,0,if self._backend.shape(concept_embeddings)[0] != len(self.inventory):,STRUCTURAL_NONCAUSAL,KEEP,indexing/control-flow literal tied to array structure
src/modelcypher/core/domain/atlas/atlas_base.py,274,0,text_vec = self._ensure_array(embeddings[0]),UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,311,0,if self._backend.shape(concept_embeddings)[0] == 0:,STRUCTURAL_NONCAUSAL,KEEP,indexing/control-flow literal tied to array structure
src/modelcypher/core/domain/atlas/atlas_base.py,311,0,if self._backend.shape(concept_embeddings)[0] == 0:,STRUCTURAL_NONCAUSAL,KEEP,indexing/control-flow literal tied to array structure
src/modelcypher/core/domain/atlas/atlas_base.py,336,0,"Normalized to [0, 1] where 1.0 = maximum entropy (uniform distribution).",DATA_DERIVED,KEEP,line uses measured statistics from data
src/modelcypher/core/domain/atlas/atlas_base.py,336,1,"Normalized to [0, 1] where 1.0 = maximum entropy (uniform distribution).",DATA_DERIVED,KEEP,line uses measured statistics from data
src/modelcypher/core/domain/atlas/atlas_base.py,336,1.0,"Normalized to [0, 1] where 1.0 = maximum entropy (uniform distribution).",DATA_DERIVED,KEEP,line uses measured statistics from data
src/modelcypher/core/domain/atlas/atlas_base.py,342,0,"Normalized entropy in [0, 1], or None if values sum to zero.",DATA_DERIVED,KEEP,line uses measured statistics from data
src/modelcypher/core/domain/atlas/atlas_base.py,342,1,"Normalized entropy in [0, 1], or None if values sum to zero.",DATA_DERIVED,KEEP,line uses measured statistics from data
src/modelcypher/core/domain/atlas/atlas_base.py,353,0,if total <= 0:,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,357,0,mask = probs > 0,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,367,1,if n <= 1:,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,368,0.0,return 0.0,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/atlas_base.py,370,0,return entropy / max_entropy if max_entropy > 0 else 0.0,DATA_DERIVED,KEEP,line uses measured statistics from data
src/modelcypher/core/domain/atlas/atlas_base.py,370,0.0,return entropy / max_entropy if max_entropy > 0 else 0.0,DATA_DERIVED,KEEP,line uses measured statistics from data
